stop_id,stop_code,stop_name,stop_url,wheelchair,route_id,loc_type,service_id
43-01,"10118",Station Angrignon,,"2",,"2",20M
"43","10118",Station Angrignon,http://www.stm.info/fr/infos/reseaux/metro/angrignon,"2","1","0",20M
42-01,"10120",Station Monk - Édicule Nord,,"2",,"2",20M
42-02,"10120",Station Monk - Édicule Sud,,"2",,"2",20M
"42","10120",Station Monk,http://www.stm.info/fr/infos/reseaux/metro/monk,"2","1","0",20M
41-01,"10122",Station Jolicoeur,,"2",,"2",20M
"41","10122",Station Jolicoeur,http://www.stm.info/fr/infos/reseaux/metro/jolicoeur,"2","1","0",20M
40-01,"10124",Station Verdun - Édicule Nord,,"2",,"2",20M
40-02,"10124",Station Verdun - Édicule Sud,,"2",,"2",20M
"40","10124",Station Verdun,http://www.stm.info/fr/infos/reseaux/metro/verdun,"2","1","0",20M
39-01,"10126",Station De l'Église - Édicule Wellington,,"2",,"2",20M
39-02,"10126",Station De l'Église,,"2",,"2",20M
"39","10126",Station De l'Église,http://www.stm.info/fr/infos/reseaux/metro/de-l-eglise,"2","1","0",20M
38-01,"10128",Station LaSalle,,"2",,"2",20M
"38","10128",Station LaSalle,http://www.stm.info/fr/infos/reseaux/metro/lasalle,"2","1","0",20M
37-01,"10130",Station Charlevoix,,"2",,"2",20M
"37","10130",Station Charlevoix,http://www.stm.info/fr/infos/reseaux/metro/charlevoix,"2","1","0",20M
36-01,"10132",Station Lionel-Groulx,,"1",,"2",20M
"36","10132",Station Lionel-Groulx,http://www.stm.info/fr/infos/reseaux/metro/lionel-groulx,"1","1,2","0",20M
35-01,"10134",Station Atwater - Édicule De Maisonneuve (A),,"2",,"2",20M
35-02,"10134",Station Atwater - Édicule Ste-Catherine (B),,"2",,"2",20M
"35","10134",Station Atwater,http://www.stm.info/fr/infos/reseaux/metro/atwater,"2","1","0",20M
34-01,"10136",Station Guy-Concordia - Édicule Guy (B),,"2",,"2",20M
34-02,"10136",Station Guy-Concordia - Édicule St-Mathieu (A),,"2",,"2",20M
"34","10136",Station Guy-Concordia,http://www.stm.info/fr/infos/reseaux/metro/guy-concordia,"2","1","0",20M
33-01,"10138",Station Peel - Édicule Ouest,,"2",,"2",20M
33-02,"10138",Station Peel - Édicule Metcalfe,,"2",,"2",20M
33-03,"10138",Station Peel - Édicule Est,,"2",,"2",20M
33-04,"10138",Station Peel - Édicule Stanley,,"2",,"2",20M
"33","10138",Station Peel,http://www.stm.info/fr/infos/reseaux/metro/peel,"2","1","0",20M
32-01,"10140",Station McGill - Édicule Tour KPMG,,"2",,"2",20M
32-02,"10140",Station McGill - Édicule Union,,"2",,"2",20M
32-03,"10140",Station McGill - Édicule Ste-Catherine,,"2",,"2",20M
32-07,"10140",Station McGill - Édicule McGill College,,"2",,"2",20M
"32","10140",Station McGill,http://www.stm.info/fr/infos/reseaux/metro/mcgill,"2","1","0",20M
32-06,"10140",Station McGill - Édicule De Maisonneuve,,"2",,"2",20M
32-04,"10140",Station McGill - Édicule University,,"2",,"2",20M
31-03,"10142",Station Place-des-Arts - Édicule De Bleury Sud,,"2",,"2",20M
31-02,"10142",Station Place-des-Arts - Édicule De Bleury Nord,,"2",,"2",20M
